LastName,FirstName,International,Gender,EmailAddress,ExpectedHours,Semester,YearWorking,Phone,BYUID,PositionType,ClassCode,EmployeeRecord,Supervisor,HireDate,PayRate,LastPayIncrease,PayIncreaseAmount,IncreaseInputDate,YearInProgram,PayGradTuition,NameChangeCompleted,Notes,Termination,TerminationDate,QualtricsSurvey,EForm,EFormSubmissionDate,AuthorizationRecieved,AuthorizationEmailSentDate,BYUName
Maxfield,Chase,0,Male,maxfield.chase@gmail.com,15,Fall 2022,2001,2085857221,367370908,TA,7647,198726354,Greg Anderson,Mon Mar 14 2022 00:00:00 GMT-0600 (Mountain Daylight Time),15,Thu Jul 14 2022 00:00:00 GMT-0600 (Mountain Daylight Time),0.5,Fri Jul 15 2022 00:00:00 GMT-0600 (Mountain Daylight Time),Senior,0,,,0,,1,1,,1,Wed Mar 16 2022 00:00:00 GMT-0600 (Mountain Daylight Time),Chase Maxfield
Egbert,Seth,0,Male,egbert.seth@gmail.com,40,Fall2022,2022,2085713815,173892476,TA,9872,739288739,Spencer Hilton,Mon Aug 22 2022 00:00:00 GMT-0600 (Mountain Daylight Time),15,Thu Sep 01 2022 00:00:00 GMT-0600 (Mountain Daylight Time),0.5,Thu Sep 01 2022 00:00:00 GMT-0600 (Mountain Daylight Time),Senior,0,,,0,,1,1,,1,Thu Aug 25 2022 00:00:00 GMT-0600 (Mountain Daylight Time),Seth Egbert
Antetokounmpo,Giannis,1,Male,giannis@gmail.com,20,Fall2022,2022,8187672635,173892321,RA,9092,549223721,Adam Silver,Sat Jun 20 2020 00:00:00 GMT-0600 (Mountain Daylight Time),18,Wed Sep 01 2021 00:00:00 GMT-0600 (Mountain Daylight Time),1.5,Fri Sep 02 2022 00:00:00 GMT-0600 (Mountain Daylight Time),Sophomore,0,,,0,,1,1,,1,Fri Jul 03 2020 00:00:00 GMT-0600 (Mountain Daylight Time),Giannis Antetokounmpo
Lu,James,0,Male,jhualu@gmail.com,16,Winter 2021,2002,2081234567,367398672,TA,9288,187829878,Spencer Hilton,Wed Oct 14 2020 00:00:00 GMT-0600 (Mountain Daylight Time),14.5,Thu Jul 14 2022 00:00:00 GMT-0600 (Mountain Daylight Time),1,Fri Jul 15 2022 00:00:00 GMT-0600 (Mountain Daylight Time),Senior,0,,,0,,1,1,,1,Tue Oct 20 2020 00:00:00 GMT-0600 (Mountain Daylight Time),James Lu
Smith,Rachel,0,Female,rsmith2@gmail.com,15,Fall2022,2022,5699987524,274852327,RA,1108,345423721,John Doe,Sat Jun 20 2020 00:00:00 GMT-0600 (Mountain Daylight Time),16,Wed Sep 01 2021 00:00:00 GMT-0600 (Mountain Daylight Time),0.5,Fri Sep 02 2022 00:00:00 GMT-0600 (Mountain Daylight Time),Grad,1,,Integrated grad student,0,,0,0,,0,Sat Jul 03 2021 00:00:00 GMT-0600 (Mountain Daylight Time),Rachel Smith
Luke,Daniel,0,Male,dluke@gmail.com,17,Winter 2021,2001,2087654321,987345678,TA,9282,876739288,Allen Gove,Fri Oct 28 2022 00:00:00 GMT-0600 (Mountain Daylight Time),13,,,,Junior,0,,,0,,0,1,,0,,Daniel Luke
Anderson,Taylor,0,Male,xtremesoccer3@gmail.com,15,Fall 2022,2001,8015553636,367370908,RA,7647,198726354,Greg Anderson,Sat Mar 12 2022 00:00:00 GMT-0700 (Mountain Standard Time),15,Thu Jul 14 2022 00:00:00 GMT-0600 (Mountain Daylight Time),0.5,Fri Jul 15 2022 00:00:00 GMT-0600 (Mountain Daylight Time),Senior,0,,,0,,1,1,,1,Wed Mar 16 2022 00:00:00 GMT-0600 (Mountain Daylight Time),Taylor Anderson
Herbert,Justin,0,Male,gochargers10@gmail.com,20,Winter2021,2021,7523987524,374378366,RA,1012,565783761,Roger Goodell,Wed Jan 20 2021 00:00:00 GMT-0700 (Mountain Standard Time),16.5,Sun Jan 24 2021 00:00:00 GMT-0700 (Mountain Standard Time),1.5,Tue Jan 26 2021 00:00:00 GMT-0700 (Mountain Standard Time),Junior,0,,,0,,1,1,,1,Mon Feb 01 2021 00:00:00 GMT-0700 (Mountain Standard Time),Justin Herbert
Austin,Tanya,0,Female,taustin@gmail.com,12,Fall 2020,2002,8017654321,98123678,RA,8282,123456789,Greg Anderson,Tue Mar 10 2020 00:00:00 GMT-0600 (Mountain Daylight Time),15,Wed Jan 12 2022 00:00:00 GMT-0700 (Mountain Standard Time),1,Wed Jan 12 2022 00:00:00 GMT-0700 (Mountain Standard Time),Junior,0,,Great Student Developer! Switched from psychology,1,Sun May 22 2022 00:00:00 GMT-0600 (Mountain Daylight Time),1,1,,1,Sat Mar 28 2020 00:00:00 GMT-0600 (Mountain Daylight Time),Tanya Austin
Hilton,Spencer,0,Male,iloveprojectmanagement@gmail.com,15,Winter2022,2022,5425581125,564548324,RA,2212,233782361,Dean Madrian,Thu Jan 20 2022 00:00:00 GMT-0700 (Mountain Standard Time),16.5,Mon Jan 24 2022 00:00:00 GMT-0700 (Mountain Standard Time),1.5,Wed Jan 26 2022 00:00:00 GMT-0700 (Mountain Standard Time),Freshman,0,,,0,,1,1,,1,Tue Feb 01 2022 00:00:00 GMT-0700 (Mountain Standard Time),Spencer Hilton Jr.
